Investing $80 Per Week,,,,,,,,,,FINANCIAL 15 SPLIT CORP. (XTSE:FTN), $12.75 ,0.1257,,
,,,,Dividend Amount,Shares Owned,Dividend collected,Monies added - Parents,Monies added - George,Worth,,,,,
,2024,33,July,0.1257,2745.10,345.06,0.00,,"$35,000.00",,,,,
,,,August,0.1257,2772.16,348.46,0.00,,"$35,345.06",,,,,
,,,September,0.1257,4024.65,505.90,0.00,,"$51,314.28",,,,,
,,,October,0.1257,3664.64,460.64,0.00,,"$46,724.10",,,,,
,,,November,0.1257,3774.79,474.49,0.00,,"$48,128.53",,,,,
,,,December,0.1257,3812.00,479.17,0.00,,"$48,603.02",,,,,
,2025,,January,0.1257,3849.58,483.89,0.00,,"$49,082.19",,,,,
,,,February,0.1257,3887.54,488.66,0.00,,"$49,566.08",,,,,
,,,March,0.1257,3925.86,493.48,0.00,,"$50,054.75",,,,,
,,,April,0.1257,6565.67,825.30,0.00,,"$83,712.25",,,,,
,,34,May,0.1257,6630.40,833.44,0.00,,"$84,537.56",,,,,
,,,June,0.1257,6695.76,841.66,0.00,,"$85,371.00",,,,,
,,,July,0.1257,6761.78,849.96,0.00,,"$86,212.65",,,,,
,,,August,0.1257,6925.67,870.56,0.00,,"$88,302.27",,,,,
,,,September,0.1257,6993.95,879.14,0.00,,"$89,172.83",,,,,
,,,October,0.1257,7062.90,887.81,0.00,,"$90,051.97",,,,,
,,,November,0.1257,7132.53,896.56,0.00,,"$90,939.77",,,,,
,,,December,0.1257,7202.85,905.40,0.00,,"$91,836.33",,,,,
,2026,,January,0.1257,7273.86,914.32,0.00,,"$92,741.73",,,,,
,,,February,0.1257,7345.57,923.34,0.00,,"$93,656.05",,,,,
,,,March,0.1257,7417.99,932.44,0.00,,"$94,579.39",,,,,
,,,April,0.1257,7491.12,941.63,0.00,,"$95,511.83",,,,,
,,35,May,0.1257,7564.98,950.92,0.00,,"$96,453.47",,,,,
,,,June,0.1257,7639.56,960.29,0.00,,"$97,404.39",,,,,
,,,July,0.1257,7714.88,969.76,0.00,,"$98,364.68",,,,,
,,,August,0.1257,7790.94,979.32,0.00,,"$99,334.44",,,,,
,,,September,0.1257,7867.75,988.98,0.00,,"$100,313.76",,,,,
,,,October,0.1257,7945.31,998.73,0.00,,"$101,302.74",,,,,
,,,November,0.1257,8023.64,1008.57,0.00,,"$102,301.46",,,,,
,,,December,0.1257,8102.75,1018.52,0.00,,"$103,310.03",,,,,
,2027,,January,0.1257,8182.63,1028.56,80.00,,"$104,328.55",,,,,
,,,February,0.1257,8269.58,1039.49,80.00,,"$105,437.11",,,,,
,,,March,0.1257,8357.38,1050.52,80.00,,"$106,556.59",,,,,
,,,April,0.1257,8446.05,1061.67,80.00,,"$107,687.11",,,,,
,,36,May,0.1257,8535.59,1072.92,80.00,,"$108,828.78",,,,,
,,,June,0.1257,8626.02,1084.29,80.00,,"$109,981.71",,,,,
,,,July,0.1257,8717.33,1095.77,80.00,,"$111,146.00",,,,,
,,,August,0.1257,8809.55,1107.36,80.00,,"$112,321.77",,,,,
,,,September,0.1257,8902.68,1119.07,80.00,,"$113,509.13",,,,,
,,,October,0.1257,8996.72,1130.89,80.00,,"$114,708.19",,,,,
,,,November,0.1257,9091.69,1142.83,80.00,,"$115,919.08",,,,,
,,,December,0.1257,9187.60,1154.88,80.00,,"$117,141.91",,,,,
,2028,,January,0.1257,9284.45,1167.06,80.00,,"$118,376.79",,,,,
,,,February,0.1257,9382.26,1179.35,80.00,,"$119,623.84",,,,,
,,,March,0.1257,9481.03,1191.77,80.00,,"$120,883.19",,,,,
,,,April,0.1257,9580.78,1204.30,80.00,,"$122,154.96",,,,,
,,37,May,0.1257,9681.51,1216.97,80.00,,"$123,439.26",,"50,000 house refinance",,5000,628.5
